index,utt_id,wav_path,pred_path,ref_path,full_path,context_path,stoi,pesq,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,status,error
0,440c0201,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c0201.wav,generated\encodec_oracle\pred\0000_440c0201_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0000_440c0201_reference_future_2_3s.wav,generated\encodec_oracle\full\0000_440c0201_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0000_440c0201_context_0_2s.wav,0.8936611227455763,2.3430237770080566,nan,nan,nan,OK,
1,440c0202,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c0202.wav,generated\encodec_oracle\pred\0001_440c0202_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0001_440c0202_reference_future_2_3s.wav,generated\encodec_oracle\full\0001_440c0202_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0001_440c0202_context_0_2s.wav,0.93603857039269,2.812950372695923,nan,nan,nan,OK,
2,440c0203,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c0203.wav,generated\encodec_oracle\pred\0002_440c0203_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0002_440c0203_reference_future_2_3s.wav,generated\encodec_oracle\full\0002_440c0203_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0002_440c0203_context_0_2s.wav,0.8749300952874921,2.3623123168945312,nan,nan,nan,OK,
3,440c0204,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c0204.wav,generated\encodec_oracle\pred\0003_440c0204_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0003_440c0204_reference_future_2_3s.wav,generated\encodec_oracle\full\0003_440c0204_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0003_440c0204_context_0_2s.wav,0.7727692616255788,1.0384503602981567,nan,nan,nan,OK,
4,440c0205,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c0205.wav,generated\encodec_oracle\pred\0004_440c0205_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0004_440c0205_reference_future_2_3s.wav,generated\encodec_oracle\full\0004_440c0205_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0004_440c0205_context_0_2s.wav,0.9088764491312363,2.5778636932373047,nan,nan,nan,OK,
5,440c0206,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c0206.wav,generated\encodec_oracle\pred\0005_440c0206_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0005_440c0206_reference_future_2_3s.wav,generated\encodec_oracle\full\0005_440c0206_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0005_440c0206_context_0_2s.wav,0.9070278521489975,2.7210116386413574,nan,nan,nan,OK,
6,440c0207,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c0207.wav,generated\encodec_oracle\pred\0006_440c0207_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0006_440c0207_reference_future_2_3s.wav,generated\encodec_oracle\full\0006_440c0207_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0006_440c0207_context_0_2s.wav,0.9071889141773706,2.26674222946167,nan,nan,nan,OK,
7,440c0208,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c0208.wav,generated\encodec_oracle\pred\0007_440c0208_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0007_440c0208_reference_future_2_3s.wav,generated\encodec_oracle\full\0007_440c0208_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0007_440c0208_context_0_2s.wav,0.9420190049384588,2.9457952976226807,nan,nan,nan,OK,
8,440c0209,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c0209.wav,generated\encodec_oracle\pred\0008_440c0209_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0008_440c0209_reference_future_2_3s.wav,generated\encodec_oracle\full\0008_440c0209_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0008_440c0209_context_0_2s.wav,0.9308955929458969,2.0697896480560303,nan,nan,nan,OK,
9,440c020a,E:\Working\deep-learning\datasets\wsjcam0_wavs\si_et_05\440\440c020a.wav,generated\encodec_oracle\pred\0009_440c020a_oracle_pred_future_2_3s.wav,generated\encodec_oracle\ref\0009_440c020a_reference_future_2_3s.wav,generated\encodec_oracle\full\0009_440c020a_oracle_reconstructed_0_3s.wav,generated\encodec_oracle\context\0009_440c020a_context_0_2s.wav,0.956868340527021,3.119344711303711,nan,nan,nan,OK,
